STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
PS2430,Oscheius tipulae,unc-1(sy459),Outcrossed 5x to CEW1. Twitcher.,MAF,4.19.1
PS2455,Oscheius tipulae,con-1(sy462),Ouctcrossed 5x to CEW1. Defect in pharyngeal coordination (Phm) resulting in apparent constipation.,MAF,5.20.2
PS2530,Oscheius tipulae,dpy-3(sy471),Outcrossed 5x to CEW1. Reference allele.,MAF,6.15.3A
PS2533,Oscheius tipulae,unc-6(sy474) X,Outcrossed 5x to CEW1.Kinker. Reference allele.,MAF,7.24.6
PS2534,Oscheius tipulae,lon-1(sy475),Outcrossed 5x to CEW1. Long. Reference allele.,MAF,7.45.2
PS2535,Oscheius tipulae,dov-(sy476d) ,Outcrossed 5x to CEW1. Dominant. Excess of vulval divisions. cf Dichtel et al. Genetics 2001.,MAF,3.8.1
PS2556,Oscheius tipulae,dpy(sy484) ,Outcrossed 5x to CEW1.,MAF,6.9.7
PS2615,Oscheius tipulae,dpy(sy516),Outcrossed 5x to CEW1.,MAF,11.5.7
PS2626,Oscheius tipulae,him-1(sy527),"High incidence of males. Recessive. Outcrossed 1x to PS2430, 1x to PS2533, 1x to PS2530, 1x to CEW1, 1x to PS2558.",MAF,10.56.4
PS2756,Oscheius tipulae,dov-1(sy543),Outcrossed 5x to CEW1.P4.p and P8.p divide only once. cf Dichtel et al. Genetics 2001.,Mark Viney,14.15.1
PS2757,Oscheius tipulae,unc-1(sy544),Outcrossed 5x to CEW1. Twitcher.,Mark Viney,14.24.1
DF5006,Rhabditella axei,wild isolate,"Males + females. Isolated by W. Sudhaus, 29 July 1979 from a compost heap in Esmoulieres, France. Sommer & Sternberg, Dev. Biol. 95.F_lix & St., Dev. 97, Delattre & F_lix, Dev. Biol. 01.",David Fitch via Caltech,DF6
PS443,Panagrolaimus sp.,wild isolate,Males + females. Isolated by Raffi Aroian from Armenia. F_lix et al. Dev. Biol. 2000.,Raffi Aroian,
JU2,Oscheius tipulae,rol(sy458) unc-6(sy474) X,,MAF,
JU5,Oscheius tipulae,dpy-3(sy471)lon-1(sy475),Dpy phenotype.,MAF,
JU6,Oscheius tipulae,dpy-3(sy471); dov-9(sy505),sy505 outcrossed 5x.,MAF,
JU7,Oscheius tipulae,dpy-3(sy471); him-1(sy527),,MAF,
JU8,Oscheius tipulae,unc(sy446); iov-3(sy447),,MAF,
PS2591,Oscheius tipulae,lin(sy506),Outcrossed 1x to CEW1. Gonad defects. 2 anchor cells in some animals.,MAF,11.38.7
PS2531,Oscheius tipulae,rol-1(sy472) X,Outcrossed 5x to CEW1.,MAF,6.15.3B
JB122,Protorhabditis sp.,wild isolate,"Hermaphrodites. Delattre & F_lix, Dev. Biol. 01.",Jim Baldwin and Claudia Dolinski,
PS1010,Caenorhabditis angaria,wild isolate,"Males + females. ÒCaenorhabditis sp. 3Ó Sommer & Sternberg, Dev. Biol. 1995, Delattre & F_lix, Dev. Biol. 01, Curr. Biol. 01. Description in Sudhaus et al. 2010.",W. Sudhaus via Caltech; reordered CGC oct 2014,
JU105,Oscheius tipulae,cov-7(sy466),"Outcrossed 2x to CEW1, 1x to PS2428 (sy457), 1x to CEW1, 1x to PS2428 (sy457). P3.p ssss. Approx.10-20% sinistrals. Delattre and F_lix, Dev. Biol. 2001, Louvet-Vall_e et al. Genetics 2003.",MAF,8.16.2
PS1159,Panagrolaimus sp.,wild isolate,"Parthenogenetic. Isolated by J. Miller in Durham, NC, 1990. Sommer & Sternberg, Curr. Biol. 96. F_lix et al. Dev. Biol. 2000.",Lynn Carta,
PS2528,Oscheius tipulae,unc(sy469),"Outcrossed 5x to CEW1. Slow, Clr, Sma.",MAF,5.28.4
PS2529,Oscheius tipulae,sma(sy470),Outcrossed 5x to CEW1.,MAF,6.2.4
PS2768,Oscheius tipulae,unc(sy550),Outcrossed 5x to CEW1.,Mark Viney,14.15.10
PS1197,Cephalobus cubaensis,wild isolate,"Parthenogenetic. Frozen with protocols for cephalobs. F_lix & Sternberg, Dev. 96, F_lix et al. Dev. Biol. 2000, Delattre & F_lix, Dev. Biol. 01.","W. Boorstein, Lynn Carta",Fiji 6
PS1850,Panagrolaimus sp.,wild isolate,Males + females. Isolated from lawn in front of Caltech. Visible ÒmutationsÓ. F_lix et al. Dev. Biol. 2000.,Keith Brown,
JU9,Oscheius tipulae,unc(mf2),"Outcrossed 1x to CEW1. Dominant. Strong Unc, Coiler.",MAF / Mahnouch Khairy,17.34.5
JU10,Oscheius tipulae,egl(mf3),Outcrossed 1x to CEW1. Nomarski vulva OK.,MAF,17.34.10
PS1143,Cephalobus sp.,wild isolate,"Partenogenetic. Frozen with protocol for cephalobs. Collected at Foster Fallow, Cachella Valley, 1990 by M. Grunnet. F_lix et al. Dev. Biol. 2000.",Lynn Carta,
PS1146,Cephalobus sp. cf amurensis,wild isolate,"Hermaphrodites + males. Frozen with protocol for cephalobs. Collected byr R. Wellman, Pure-Gro, Hull 83W cotton, Southern California Desert, Blythe, 2/92. F_lix & Sternberg, Dev. 96, F_lix et al. Dev. Biol. 2000, Delattre & F_lix, Dev. Biol. 01.",Lynn Carta,Acrobeloides sp.
PS1959,Cephalobus nanus,wild isolate,"Partenogenetic. Frozen with protocol for cephalobs. Collected by I. F_lix, Champagne Berrichonne. Identified by Paul DeLey. F_lix et al. Dev. Biol. 2000, Delattre & F_lix, Dev. Biol. 01.",MAF,FR4
JU11,Oscheius tipulae,unc(mf4) X,"Outcrossed 2x to CEW1. Slow, Kinker.",Mahnouch Khairy / MAF,18.12.7
JU12,Oscheius tipulae,dpy(mf5),Outcrossed 3x to CEW1.,Mahnouch Khairy / MAF,18.4.3
JU13,Oscheius tipulae,egl(mf6) ,"Strong Egl, Nomarski vulva OK.Outcrossed 1x to CEW1.",MAF,17.35.4
JU14,Oscheius tipulae,egl(mf7),"Moderate Egl, Nomarski vulva OK.Outcrossed 1x to CEW1.","MAF, Marie-Laure Dichtel",24.33.8
JU15,Oscheius tipulae,unc-1(mf8),Twitcher. Outcrossed 1x to CEW1.,Marie-Laure Dichtel,21.32.4
JU16,Oscheius tipulae,unc(mf9) X,"Loopy, Small. Outcrossed 1x to CEW1. ",Marie-Laure Dichtel,20.51.9
JU17,Oscheius tipulae,egl(mf10),"Weak Egl. Outcrossed 3x to CEW1, 1x to PS2533.",MAF,17.30.1
JU18,Oscheius tipulae,egl(mf10); unc-6(sy474),,MAF,
JU19,Oscheius tipulae,lin(mf11),"Most animals are Egl. Pn.p missing or additional. Outcrossed 2x to CEW1, 1x to PS2533.",MAF,17.4.4
JU20,Oscheius tipulae,lin(mf11); unc-6(sy474),,MAF,
JB007,Acrobeloides bodenheimeri,wild isolate,"Males + females. Sinistral. Frozen with protocol for cephalobs. F_lix et al. Dev. Biol. 2000, Delattre & F_lix, Dev. Biol. 01.","Jim Baldwin, Paul De Ley",
PDL32,Acrobeloides bodenheimeri,wild isolate,"Males + females. Sinistral. Frozen with protocol for cephalobs. Isolated from dunes in Koksijde, Belgium. ",Paul De Ley,
JU21,Oscheius tipulae,lin(mf12),"P cell generation defect. Vul, Unc, Pvl Egl.Outcrossed 3x to CEW1.",MAF / Marie-Laure Dichtel,20.42.3
JU22,Oscheius tipulae,egl(mf13),Weak Egl. Outcrossed 1x to CEW1.,MAF / Marie-Laure Dichtel,25.24.3
JU23,Oscheius tipulae,egl(mf14),Weak Egl. Outcrossed 1x to CEW1.,MAF / Marie-Laure Dichtel,26.3.8
JB116,Bunonema sp.,wild isolate,", kept in culture",Jim Baldwin,
SB170,Teratorhabditis mariannae,wild isolate,"Males + females. Delattre & F_lix, Dev. Biol. 01.",W. Sudhaus through Ralf Sommer,
JU24,Oscheius tipulae,dov-10(mf15),"Outcrossed 2x to CEW1, 1x to PS2533 (sy474), 1x to CEW1, 1x to PS2617. Excess vulval divisions. Dichtel et al. Genetics 2001.",MAF / Marie-Laure Dichtel,20.32.2
JU25,Oscheius tipulae,lin(mf16),"Pn.p generation Vul. Outcrossed 2x to CEW1, 1x to PS2617 (sy518), 1x to CEW1.",MAF / Marie-Laure Dichtel,23.28.2
JU26,Oscheius tipulae,dov-10(mf15); dpy-6(sy518),,MAF,
JU27,Oscheius tipulae,lin(mf17),"Outcrossed 2x to CEW1, 1x to PS2531 (sy472). Excess vulval divisions?",MAF / Marie-Laure Dichtel,23.9.7
JU28,Oscheius tipulae,lin(mf17); rol-1(sy472),,MAF,
JU29,Oscheius tipulae,lin(mf16); dpy-6(sy518),,MAF,
JU30,Oscheius tipulae,Oti-lin-39(mf70),Not outcrossed! Pn.p all S. Deletion in the Oscheius tipulae lin-39 homolog. Louvet-Vall_e et al. Genetics 2003.,MAF / Marie-Laure Dichtel,25.29.2
PS966,Oscheius tipulae,wild isolate,"Hermaphrodites + males. Isolated from Ohio.  F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
PS986,Oscheius tipulae,wild isolate,"Hermaphrodites + males. Isolated from Kansas. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
PS1005,Oscheius tipulae,wild isolate,"Hermaphrodites + males. Isolated from National AP, Washington D.C. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
PS1170,Oscheius tipulae,wild isolate,"Hermaphrodites + males. Isolated from Alabama. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
PS1305,Oscheius tipulae,wild isolate,"Hermaphrodites + males. Isolated from Pennsylvania. Sommer & Sternberg, Dev. Biol. 1995, F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
PS2070,Oscheius tipulae,wild isolate,"Hermaphrodites + males. Isolated from Meudon, France. Delattre & F_lix, Curr. Biol. 2001, F_lix et al. Nematology 2001.",Lynn Carta,FR3
PS2280,Oscheius tipulae,wild isolate,"Hermaphrodites + males. Isolated from a soil sample isolated by I. F_lix, Thizay, Indre, France. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,FR11
SB133,Oscheius guentheri,wild isolate,"Hermaphrodites + rare males. Isolated from Vietnam. Sudhaus & Hooper, Nematologica 1994, F_lix & Sternberg Dev. 96, F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.","Walter Sudhaus, Lynn Carta",PS2309
JU31,Oscheius tipulae,dpy-1(mf18),Outcrossed 5x to CEW1.,"Marie-Laure Dichtel, MAF",22.8.4
JU32,Oscheius tipulae,dpy-1(mf19),Outcrossed 5x to CEW1. Reference allele.,"Marie-Laure Dichtel, G_raldine Maro",23.8.4
JU33,Oscheius tipulae,dpy-6(mf20),Outcrossed 5x to CEW1.,"Marie-Laure Dichtel, G_raldine Maro",25.44.2
JU34,Oscheius tipulae,dpy-2(mf21),Outcrossed 1x to CEW1. Reference allele.,Marie-Laure Dichtel,26.28.6
JU35,Oscheius tipulae,unc(mf22),Outcrossed 2x to CEW1. Strong Coiler.,Marie-Laure Dichtel,21.3.2
JU36,Oscheius tipulae,unc(mf23),Outcrossed 1x to CEW1. Very slow.,Marie-Laure Dichtel,24.11.1
JU37,Oscheius tipulae,unc(mf24),Outcrossed 3x to CEW1. Weak kinker.,Marie-Laure Dichtel,22.5.7
JU38,Oscheius tipulae,unc(mf25),Outcrossed 2x to CEW1. Slow.,Marie-Laure Dichtel,22.8.7
JU39,Oscheius tipulae,unc(mf26),Outcrossed 2x to CEW1. Kinker.,Marie-Laure Dichtel,22.35.6
JU40,Oscheius tipulae,unc(mf27),Outcrossed 2x to CEW1. Kinker.,Marie-Laure Dichtel,23.14.7
JU41,Oscheius tipulae,unc(mf28),Outcrossed 2x to CEW1. Kinker.,Marie-Laure Dichtel,26.4.5
JU42,Oscheius tipulae,unc-2(mf29),Outcrossed 5x to CEW1. Very slow. Reference allele. Autosomal.,"Marie-Laure Dichtel, MAF",25.42.7
JU43,Oscheius tipulae,unc(mf30),Outcrossed 3x to CEW1. Kinker.,Marie-Laure Dichtel,20.49.7
JU44,Oscheius tipulae,unc(mf31),Outcrossed 2x to CEW1. Loopy.,Marie-Laure Dichtel,22.6.1
JU45,Oscheius tipulae,lin(mf32),"Outcrossed 2x to CEW1, 1x to PS2617 (sy518). VPC division and induction defect?",MAF,18.12.10
JU46,Oscheius tipulae,unc/lin(mf33),"Outcrossed 5x to CEW1. Unc (weak coiler), weak Vul, 2nd induction only?","MAF, Marie-Laure Dichtel",22.37.4
JU47,Oscheius tipulae,cov-5(mf34); dpy-6(sy518),,MAF,
JU48,Oscheius tipulae,cov-3(mf35); dpy-6(sy518),,MAF,
JU49,Oscheius tipulae,lin(mf56),"Outcrossed 1x to CEW1, 1x to PS2533 (sy474). P generation Vul.",MAF,18.20.11
JU50,Oscheius tipulae,dpy(mf36),Outcrossed 5x to CEW1. ,Marie-Laure Dichtel,26.24.13
JU51,Oscheius tipulae,unc(mf37),"Outcrossed 2x to CEW1. Kinker, weak Dpy.",Marie-Laure Dichtel,19.19.9
JU52,Oscheius tipulae,unc(mf38),Outcrossed 2x to CEW1. Coiler.,Marie-Laure Dichtel,21.5.3
JU53,Oscheius tipulae,unc-3(mf39),Outcrossed 5x to CEW1. Slow.,"Marie-Laure Dichtel, G_raldine Maro",24.42.1
JU54,Oscheius tipulae,cov-3(mf35),"Outcrossed 2x to CEW1, 1x to PS2617 (sy518). Louvet-Vall_e et al. Genetics 2003.",MAF / Marie-Laure Dichtel,26.3.9
JU55,Oscheius tipulae,dpy(mf40),Outcrossed 3x to CEW1. ,Marie-Laure Dichtel,20.19.1
JU56,Oscheius tipulae,dpy(mf41),Outcrossed 2x to CEW1.,Marie-Laure Dichtel,24.5.5
JU57,Oscheius tipulae,unc-5(mf42),Outcrossed 5x to CEW1. Coiler. Reference allele.,"Marie-Laure Dichtel, G_raldine Maro",23.37.11
JU58,Oscheius tipulae,unc-3(mf43),Outcrossed 5x to CEW1. Coiler. Reference allele.,"Marie-Laure Dichtel, G_raldine Maro",25.24.8
JU59,Oscheius tipulae,unc-4(mf44),Outcrossed 5x to CEW1. Coiler.,"Marie-Laure Dichtel, G_raldine Maro",25.45.6
JU60,Oscheius tipulae,unc(mf45),Outcrossed 3x to CEW1. Kinker.,Marie-Laure Dichtel,22.14.1
JU61,Oscheius tipulae,unc(mf46),Outcrossed 5x to CEW1. Slow.,"Marie-Laure Dichtel, G_raldine Maro",25.33.2
JU62,Oscheius tipulae,unc(mf47),Outcrossed 2x to CEW1. Twitcher.,Marie-Laure Dichtel,24.29.7
JU63,Oscheius tipulae,unc(mf48),"Outcrossed 3x to CEW1. Slow, weak Kinker.",Marie-Laure Dichtel,26.13.7
JU64,Oscheius tipulae,dpy-4(mf49),Outcrossed 2x to CEW1. ,Marie-Laure Dichtel,24.29.4
JU65,Oscheius tipulae,unc(mf50),Outcrossed 2x to CEW1.,Marie-Laure Dichtel,26.39.6
JU66,Oscheius tipulae,dpy-4(mf51),Outcrossed 3x to CEW1. ,Marie-Laure Dichtel,23.19.3
JU67,Pristionchus sp.,wild isolate,"Males + females. Isolated from Auffargis, Yvelines, France. Male/female. Emb. let. Spring 98. ",Marie Delattre,
JU68,Family Rhabditidae,wild isolate,"Males + females. Isolated from Auffargis, Yvelines, France. Spring 98. ",Marie Delattre,esp. A
JU69,Oscheius tipulae,iov-3(mf52),"Outcrossed 2x to CEW1, 1x to PS2428 (sy457), 2x to CEW1. P4.p and P8.p hyperinduced. Dichtel-Danjoy & F_lix, Dev. Biol. 2004. ",MAF,21.10.2
JU70,Oscheius tipulae,iov-3(mf52); unc-4(sy457),,MAF,
JU71,Oscheius tipulae,cov-1(mf53),Outcrossed 3x to CEW1 and 1x to PS2617 (sy518). Louvet-Vall_e et al. Genetics 2003.,MAF,22.3.4
PS2377,Oscheius tipulae,lln(sy451),Outcrossed 1x to CEW1. VPC do not divide ??,MAF,3.32.4
JU72,Oscheius dolichura,wild isolate,"Isolated by MAF from Mt Lemmon, Arizona, Aug 98. 3¡: SS. Hermaphrodites + males. ",MAF,
JU74,Oscheius tipulae,cov-5(mf34),"Outcrossed 3x to CEW1, 1x to PS2617 (sy518). Louvet-Vall_e et al. Genetics 2003.",MAF,25.33.1
JU75,Oscheius sp. 3,wild isolate,"Hermaphrodites + males. Isolated from Auffargis, Yvelines, France. Spring 98. Loopy Unc. Reference strain for sp. 3. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Marie Delattre,#2
JU76,Oscheius sp. 2,wild isolate,"Hermaphrodites + males. Isolated from Auffargis, Yvelines, France. Spring 98. Slightly slow. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Marie Delattre,#5
JU77,Oscheius sp. 2,wild isolate,"Hermaphrodites + males. Isolated from Auffargis, Yvelines, France. Spring 98. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Marie Delattre,#6
PS2458,Oscheius tipulae,cov-4(sy465),Outcrossed 1x to CEW1. Louvet-Vall_e et al. Genetics 2003.,MAF,8.30.5
PS1179,Mesorhabditis sp.,wild isolate,"Male-female with low male proportion. Sommer & Sternberg, Science 94, F_lix & Sternberg, Dev. 96, Delattre & F_lix, Dev. Biol. 01.",Lynn Carta,
SB154,Teratorhabditis palmarum,wild isolate, Males + females.,W. Sudhaus through R. Sommer,DF5044
PS2540,Oscheius tipulae,egl(sy481),Outcrossed 1x to CEW1. Egl. Failure of VPC divisions?,MAF,9.7.16
PS2456,Oscheius tipulae,cov-3(sy463),Outcrossed 1x to CEW1. Louvet-Vall_e et al. Genetics 2003.,MAF,7.13.4
PS2457,Oscheius tipulae,dov-4(sy464),Outcrossed 1x to CEW1. Dichtel et al. Genetics 2001.,MAF,7.49.2
PS2565,Oscheius tipulae,cov-4(sy493),Outcrossed 1x to CEW1. Louvet-Vall_e et al. Genetics 2003.,MAF,11.28.2
PS2685,Oscheius tipulae,dov-12(mf68),"Outcrossed 1x to CEW1, 1x to PS2533 (sy474) and 3x to CEW1. Excess vulval divisions. Dichtel et al. Genetics 2001. Maternal rescue.",MAF,7.42.1
PS2758,Oscheius tipulae,"CEW1 after EMS mutagenesis, infected by yellow bacteria (Microbacterium nematophilum)",Deformed tail.ÔOutcrossed?Õ 1x to CEW1?,Mark Viney,14.40.8
PS2376,Oscheius tipulae,lin(sy450),Outcrossed 1x to CEW1. P4.p and P8.p do not divide? ,MAF,3.10.1
PS2567,Oscheius tipulae,lin(sy495),Outcrossed 1x to CEW1. Failure of VPC divisions?,MAF,10.20.1
PS2620,Oscheius tipulae,lin(sy521),Outcrossed 2x to CEW1. Failure of VPC divisions? missing Pn.ps?,MAF,11.33.7
JU78,Oscheius tipulae,cov-8(mf54),"Outcrossed 2x to CEW1, 1x to PS2617(sy518), 1x to CEW1, 1x to PS2428(sy457). P3.p competence. Louvet-Vall_e et al. Genetics 2003.",MAF,26.24.5
JU79,Oscheius tipulae,cov-8(mf54); unc-4(sy457),,MAF,
JU80,Oscheius tipulae,cov-8(mf54); unc-6(sy474),,MAF,
PS2541,Oscheius tipulae,dov-6(sy482),Outcrossed 1x to CEW1. Failure of P(4-8).p and intestinal cell divisions. Dichtel et al. Genetics 2001.,MAF,10.40.5
JU81,Oscheius tipulae,cov-10(mf55),"Outcrossed 4x to CEW1, 1x to PS2428 (sy457). Weak Dpy, Centering vulva on P7.p, slight hyperinduction P4.p, P8.p. Louvet-Vall_e et al. Genetics 2003.",MAF,25.31.8
JU82,Oscheius tipulae,cov-10(mf55); unc-4(sy457),,MAF,
JU83,Oscheius tipulae,lin(mf56); unc-6(sy474),,MAF,
JU84,Oscheius tipulae,cov-2(mf57); dpy-6(sy535),,MAF,
JU85,Oscheius tipulae,cov-2(mf57),"Outcrossed 3x to CEW1, 1x to PS2661 (sy535). Louvet-Vall_e et al. Genetics 2003.",MAF,26.12.2
JU86,Oscheius tipulae,dov-11(mf58),"Outcrossed 3x to CEW1, 1x to PS2617 (sy518). Excess vulval divisions. Dichtel et al. Genetics 2001.",MAF,23.27.3
JU87,Oscheius tipulae,dov-7(mf59),"Outcrossed 2x to CEW1, 1x to PS2533 (sy474), 2x to CEW1. Retarded heterochronic. Dichtel et al. Genetics 2001.",MAF,22.39.10
JU88,Oscheius tipulae,dov-7(mf59); unc-6(sy474),,MAF,
JU89,Oscheius tipulae,lin(mf69),Not outcrossed. Defects in vulval induction and divisions?,MAF,24.37.5
JU90,Oscheius tipulae,unc(mf60),Outcrossed 5x to CEW1. Kinker.,"Marie-Laure Dichtel, MAF",25.40.9
JU91,Oscheius tipulae,unc(mf61) X,"Outcrossed 5x to CEW1. Very slow, Con. ","Marie-Laure Dichtel, MAF",26.10.5
JU92,Oscheius tipulae,unc(mf62),"Outcrossed 5x to CEW1. Loopy, deformed, Evl Egl.","Marie-Laure Dichtel, MAF",19.8.a
JU93,Oscheius tipulae,egl(mf63); unc-4(sy457),,MAF,
JU94,Oscheius tipulae,unc(mf64) X,"Outcrossed 5x to CEW1. Very slow, Con. ",MAF,19.19.3
JU95,Oscheius tipulae,dov-13(sy448); unc-6(sy474),,MAF,
JU96,Oscheius tipulae,dov-2(mf65); unc-6(sy474),,MAF,
JU97,Oscheius tipulae,dov-8(mf66),"Outcrossed 4x to CEW1, 1x to PS2428 (sy457). Retarded heterochronic. Dichtel et al. Genetics 2001.",MAF,26.37.7
JU98,Oscheius tipulae,iov-2(mf76); unc-4(sy457),,MAF,
JU99,Oscheius tipulae,iov-3(mf52); cov-8(mf54),"Dichtel-Danjoy & F_lix, Dev. Biol. 2004.",MAF,
JU100,Oscheius tipulae,iov-2(mf76),"TMP-UV allele. Outcrossed 2x to CEW1, 1x to PS2428 (sy457). Hyperinduced vulva. Dichtel-Danjoy & F_lix, Dev. Biol. 2004.",MAF,27.0.1161
JU101,Oscheius tipulae,iov-4(mf67),"Outcrossed 2x to CEW1, 1x to PS2533 (sy474), 1x to CEW1, 1x to PS2533 (sy474), 1x to CEW1. Hyperinduced vulva. Dichtel-Danjoy & F_lix, Dev. Biol. 2003.",MAF,26.1.7
JU102,Oscheius tipulae,cov-6(sy460),"Outcrossed 3x to CEW1, 1x ˆ PS2428 (sy457). P3.p competence. Louvet-Vall_e et al. Genetics 2003.",MAF,6.25.5
JU103,Oscheius tipulae,cov-6(sy460); unc-4(sy457),,MAF,
SB261,Brevibucca sp.,wild isolate,"Males + females. F_lix et al. Dev. Biol. 2000, Delattre & F_lix, Dev. Biol. 01.",Walter Sudhaus,
JU104,Oscheius tipulae,dov-2(mf65),"Outcrossed 2x to CEW1, 1x to PS2533 (sy474). P4.p and P8.p S or SS. Dichtel et al. Genetics 2001.",MAF,26.1.6
JU106,Oscheius tipulae,lin(mf77),TMP-UV allele. Outcrossed 1x to CEW1.Anchor cell does not fuse. Pvl.,MAF,27.21.1
JU107,Oscheius tipulae,cov-7(sy466); unc-4(sy457),,MAF,
JU108,Oscheius tipulae,iov-3(mf78),"TMP-UV allele. P4.p and P8.p hyperinduced.Outcrossed 2x to CEW1, 1x to PS2533 (sy474), 1x to CEW1. Dichtel-Danjoy & F_lix, Dev. Biol. 2004.",MAF,27.32.6
JU109,Oscheius tipulae,iov-3(mf78); unc-6(sy474),,MAF,
JU110,Oscheius tipulae,iov-4(mf67); unc-6(sy474),,MAF,
JU111,Oscheius tipulae,cov-3(mf79),"Outcrossed 3x to CEW1, 1x to PS2428 (sy457). TMP-UV allele. Vulva competence defect and centering on P5.p. Louvet-Vall_e et al. Genetics 2003.",MAF,27.9.5
JU112,Oscheius tipulae,cov-3(mf79); unc-4(sy457),,MAF,
JU113,Oscheius tipulae,cov-3(mf80),"Outcrossed 2x to CEW1, 1x to PS2428 (sy457). TMP-UV allele. Vulva competence defect and centering on P5.p. Louvet-Vall_e et al. Genetics 2003.",MAF,27.29.2
JU114,Oscheius tipulae,cov-3(mf80); unc-4(sy457),,MAF,
JU115,Oscheius tipulae,Inj29.2.2,"Lon, obtained after injection of pRF4. Rearrangement? Dominant.",MAF,
JU116,Oscheius tipulae,dov-5(mf81),"TMP-UV allele. Vulva division defect. Dichtel et al. Genetics 2001. Outcrossed 2x to CEW1, 1x to sy457/+. ",MAF,27.3.3
JU117,Oscheius tipulae,dov-5(mf81); unc-4(sy457),,MAF,
JU118,Oscheius tipulae,dov-14(mf82),"TMP-UV allele. Excess vulval divisions. cf Dichtel et al. Genetics 2001. Outcrossed 3x to CEW1, 1x to PS2428.",MAF,27.31.8
JU119,Oscheius tipulae,dov-14(mf82); unc-4(sy457),,MAF,
JU120,Oscheius tipulae,dov-15(mf83),"TMP-UV allele. Vulval cell fusion defect. Excess vulval divisions. Dichtel et al. Genetics 2001. Outcrossed 2x to CEW1, 1x to sy457/+ males.",MAF,29.27.3
JU121,Oscheius tipulae,dov-15(mf83); unc-4(sy457),,MAF,
JU122,Oscheius tipulae,Inj23.4.1.6,"Strong Unc, obtained after injection of pRF4 in CEW1. Dominant. Rearrangement?",MAF,
