B306,1/14/15 Review,Bam_Name,Run,Library,Strain,Isotype,Latitude,Longitude,Location,FELIX DB LOC,Fastq Modifications,Original Fastq2,Library Prepareation Method
Princeton-ECA34Pool_c099uac-AB4,rename,Princeton-ECA34Pool_c099uac-AB4,Princeton,ECA34Pool_c099uac,AB4,AB4,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA34_c045gab-AB4,rename,Princeton-ECA34_c045gab-AB4,Princeton,ECA34_c045gab,AB4,AB4,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA34Pool_d0mbhac-AB4,rename,Princeton-ECA34Pool_d0mbhac-AB4,Princeton,ECA34Pool_d0mbhac,AB4,AB4,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
BGI1-RET3-CB4851_CGC,ok,BGI1-RET3-CB4851_CGC,BGI1,RET3,CB4851_CGC,CB4851_CGC,44.85,0.48,"Bergerac, France",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET3-CB4851_CGC,ok,BGI2-RET3-CB4851_CGC,BGI2,RET3,CB4851_CGC,CB4851_CGC,44.85,0.48,"Bergerac, France",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET3b-CB4851_CGC,ok,BGI3-RET3b-CB4851_CGC,BGI3,RET3b,CB4851_CGC,CB4851_CGC,44.85,0.48,"Bergerac, France",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Princeton-ECA41_d0ncdac-CB4851,ok,Princeton-ECA41_d0ncdac-CB4851,Princeton,ECA41_d0ncdac,CB4851,CB4851_CGC,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA44_47-CB4851,rename,Princeton-ECA44_47-CB4851,Princeton,ECA44_47,CB4851,CB4851_CGC,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
BGI1-RET1-CB4852,ok,BGI1-RET1-CB4852,BGI1,RET1,CB4852,CB4852,NA,NA,Unknown,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI1-RET4-CB4852,ok,BGI1-RET4-CB4852,BGI1,RET4,CB4852,CB4852,NA,NA,Unknown,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET1-CB4852,ok,BGI2-RET1-CB4852,BGI2,RET1,CB4852,CB4852,NA,NA,Unknown,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET4-CB4852,ok,BGI2-RET4-CB4852,BGI2,RET4,CB4852,CB4852,NA,NA,Unknown,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET1b-CB4852,ok,BGI3-RET1b-CB4852,BGI3,RET1b,CB4852,CB4852,NA,NA,Unknown,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Rockman096-R096.2-CB4852,ok,Rockman096-R096.2-CB4852,Rockman096,R096.2,CB4852,CB4852,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA34Pool_c099uac-CB4852,rename,Princeton-ECA34Pool_c099uac-CB4852,Princeton,ECA34Pool_c099uac,CB4852,CB4852,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA34Pool_d0mbhac-CB4852,rename,Princeton-ECA34Pool_d0mbhac-CB4852,Princeton,ECA34Pool_d0mbhac,CB4852,CB4852,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
MMP-7028LAB_5-CB4853,ok,MMP-7028LAB_5-CB4853,MMP,7028LAB_5,CB4853,CB4853,,,"Altadena, California (United States)",,None,,Sonication
MMP-B00B7AB_3-CB4853,ok,MMP-B00B7AB_3-CB4853,MMP,B00B7AB_3,CB4853,CB4853,,,"Altadena, California (United States)",,None,,Sonication
MMP-C02D1AC_1-CB4853,ok,MMP-C02D1AC_1-CB4853,MMP,C02D1AC_1,CB4853,CB4853,,,"Altadena, California (United States)",,None,,Sonication
MMP-D09NFAC_4-CB4853,ok,MMP-D09NFAC_4-CB4853,MMP,D09NFAC_4,CB4853,CB4853,,,"Altadena, California (United States)",,None,,Sonication
MMP-D0A7EAC_1-CB4853,ok,MMP-D0A7EAC_1-CB4853,MMP,D0A7EAC_1,CB4853,CB4853,,,"Altadena, California (United States)",,None,,Sonication
BGI2-RET6-CB4853_CGC,ok,BGI2-RET6-CB4853_CGC,BGI2,RET6,CB4853_CGC,CB4853,34.189,-118.131,"Altadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET6a-CB4853_CGC,ok,BGI3-RET6a-CB4853_CGC,BGI3,RET6a,CB4853_CGC,CB4853,34.189,-118.131,"Altadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI1-RET3-CB4853_UK,ok,BGI1-RET3-CB4853_UK,BGI1,RET3,CB4853_UK,CB4853,34.189,-118.131,"Altadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET3-CB4853_UK,ok,BGI2-RET3-CB4853_UK,BGI2,RET3,CB4853_UK,CB4853,34.189,-118.131,"Altadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET3a-CB4853_UK,ok,BGI3-RET3a-CB4853_UK,BGI3,RET3a,CB4853_UK,CB4853,34.189,-118.131,"Altadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Princeton-ECA35_c099uac-CB4853,ok,Princeton-ECA35_c099uac-CB4853,Princeton,ECA35_c099uac,CB4853,CB4853,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA35_d0mbhac-CB4853,ok,Princeton-ECA35_d0mbhac-CB4853,Princeton,ECA35_d0mbhac,CB4853,CB4853,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
BGI1-RET7-CB4854,ok,BGI1-RET7-CB4854,BGI1,RET7,CB4854,CB4854,34.189,-118.131,"Altadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET7-CB4854,ok,BGI2-RET7-CB4854,BGI2,RET7,CB4854,CB4854,34.189,-118.131,"Altadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET7a-CB4854,ok,BGI3-RET7a-CB4854,BGI3,RET7a,CB4854,CB4854,34.189,-118.131,"Altadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
MMP-7028LAB_5-CB4854,ok,MMP-7028LAB_5-CB4854,MMP,7028LAB_5,CB4854,CB4854,34.189,-118.131,"Altadena, California (United States)",,None,,Sonication
MMP-B00B7AB_3-CB4854,ok,MMP-B00B7AB_3-CB4854,MMP,B00B7AB_3,CB4854,CB4854,34.189,-118.131,"Altadena, California (United States)",,None,,Sonication
MMP-C02D1AC_1-CB4854,ok,MMP-C02D1AC_1-CB4854,MMP,C02D1AC_1,CB4854,CB4854,34.189,-118.131,"Altadena, California (United States)",,None,,Sonication
MMP-D09NFAC_4-CB4854,ok,MMP-D09NFAC_4-CB4854,MMP,D09NFAC_4,CB4854,CB4854,34.189,-118.131,"Altadena, California (United States)",,None,,Sonication
MMP-D0A7EAC_1-CB4854,ok,MMP-D0A7EAC_1-CB4854,MMP,D0A7EAC_1,CB4854,CB4854,34.189,-118.131,"Altadena, California (United States)",,None,,Sonication
BGI1-RET4-CB4855_UK,ok,BGI1-RET4-CB4855_UK,BGI1,RET4,CB4855_UK,CB4855_UK,37.44,-122.14,"Palo Alto, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET4-CB4855_UK,ok,BGI2-RET4-CB4855_UK,BGI2,RET4,CB4855_UK,CB4855_UK,37.44,-122.14,"Palo Alto, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET4b-CB4855_UK,ok,BGI3-RET4b-CB4855_UK,BGI3,RET4b,CB4855_UK,CB4855_UK,37.44,-122.14,"Palo Alto, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Princeton-ECA30_c02hkac-CB4855,ok,Princeton-ECA30_c02hkac-CB4855,Princeton,ECA30_c02hkac,CB4855,CB4855_UK,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA30_c03b2ab-CB4855,ok,Princeton-ECA30_c03b2ab-CB4855,Princeton,ECA30_c03b2ab,CB4855,CB4855_UK,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
MMP-62GECAA_1-CB4856,ok,MMP-62GECAA_1-CB4856,MMP,62GECAA_1,CB4856,CB4856,21.33,-157.86,"Oahu, Hawaii",,None,,Sonication
Rockman106-R106.3-CB4856,ok,Rockman106-R106.3-CB4856,Rockman106,R106.3,CB4856,CB4856,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
BGI1-RET1-CB4856,ok,BGI1-RET1-CB4856,BGI1,RET1,CB4856,CB4856,,,,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET1-CB4856,ok,BGI2-RET1-CB4856,BGI2,RET1,CB4856,CB4856,,,,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET1a-CB4856,ok,BGI3-RET1a-CB4856,BGI3,RET1a,CB4856,CB4856,,,,,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Princeton-P-CB4856,ok,Princeton-P-CB4856,Princeton,P,CB4856,CB4856,,,,,-10bp of end (low quality),,Tagmentation
Uchicago-L001-CB4856,ok,Uchicago-L001-CB4856,Uchicago,L001,CB4856,CB4856,21.33,-157.86,"Oahu, Hawaii",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Rockman999-R999.1-CB4856,ok,Rockman999-R999.1-CB4856,Rockman999,R999.1,CB4856,CB4856,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Uchicago-L001-CB4857_CGC,ok,Uchicago-L001-CB4857_CGC,Uchicago,L001,CB4857_CGC,CB4857,34.096,-117.719,"Claremont, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI1-RET6-CB4857_UK,ok,BGI1-RET6-CB4857_UK,BGI1,RET6,CB4857_UK,CB4857,34.096,-117.719,"Claremont, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET6-CB4857_UK,ok,BGI2-RET6-CB4857_UK,BGI2,RET6,CB4857_UK,CB4857,34.096,-117.719,"Claremont, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET6b-CB4857_UK,ok,BGI3-RET6b-CB4857_UK,BGI3,RET6b,CB4857_UK,CB4857,34.096,-117.719,"Claremont, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET1b-CB4857_CGC,ok,BGI3-RET1b-CB4857_CGC,BGI3,RET1b,CB4857_CGC,CB4857,34.096,-117.719,"Claremont, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI1-RET3-CB4858_UK,ok,BGI1-RET3-CB4858_UK,BGI1,RET3,CB4858_UK,CB4858_UK,34.1,-118.1,"Pasadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET3-CB4858_UK,ok,BGI2-RET3-CB4858_UK,BGI2,RET3,CB4858_UK,CB4858_UK,34.1,-118.1,"Pasadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET3b-CB4858_UK,ok,BGI3-RET3b-CB4858_UK,BGI3,RET3b,CB4858_UK,CB4858_UK,34.1,-118.1,"Pasadena, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI1-RET7-CB4932,ok,BGI1-RET7-CB4932,BGI1,RET7,CB4932,CB4932,51.02,-3.1,"Taunton, United Kingdom",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET7-CB4932,ok,BGI2-RET7-CB4932,BGI2,RET7,CB4932,CB4932,51.02,-3.1,"Taunton, United Kingdom",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET7b-CB4932,ok,BGI3-RET7b-CB4932,BGI3,RET7b,CB4932,CB4932,51.02,-3.1,"Taunton, United Kingdom",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Princeton-ECA35_c099uac-CB4932,ok,Princeton-ECA35_c099uac-CB4932,Princeton,ECA35_c099uac,CB4932,CB4932,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA35_d0mbhac-CB4932,ok,Princeton-ECA35_d0mbhac-CB4932,Princeton,ECA35_d0mbhac,CB4932,CB4932,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
BGI1-RET3-CX11254,ok,BGI1-RET3-CX11254,BGI1,RET3,CX11254,CX11254,34.13531,-118.30582,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET3-CX11254,ok,BGI2-RET3-CX11254,BGI2,RET3,CX11254,CX11254,34.13531,-118.30582,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET3b-CX11254,ok,BGI3-RET3b-CX11254,BGI3,RET3b,CX11254,CX11254,34.13531,-118.30582,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET6-CX11262,ok,BGI2-RET6-CX11262,BGI2,RET6,CX11262,CX11262,34.12946,-118.10987,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET6a-CX11262,ok,BGI3-RET6a-CX11262,BGI3,RET6a,CX11262,CX11262,34.12946,-118.10987,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI1-RET5-CX11264,ok,BGI1-RET5-CX11264,BGI1,RET5,CX11264,CX11264,34.12946,-118.10987,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET5-CX11264,ok,BGI2-RET5-CX11264,BGI2,RET5,CX11264,CX11264,34.12946,-118.10987,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET5a-CX11264,ok,BGI3-RET5a-CX11264,BGI3,RET5a,CX11264,CX11264,34.12946,-118.10987,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Princeton-ECA36_c099uac-CX11264,ok,Princeton-ECA36_c099uac-CX11264,Princeton,ECA36_c099uac,CX11264,CX11264,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
Princeton-ECA36_d0mbhac-CX11264,ok,Princeton-ECA36_d0mbhac-CX11264,Princeton,ECA36_d0mbhac,CX11264,CX11264,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
BGI1-RET7-CX11271,ok,BGI1-RET7-CX11271,BGI1,RET7,CX11271,CX11271,34.13712,-118.12532,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET7-CX11271,ok,BGI2-RET7-CX11271,BGI2,RET7,CX11271,CX11271,34.13712,-118.12532,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET7a-CX11271,ok,BGI3-RET7a-CX11271,BGI3,RET7a,CX11271,CX11271,34.13712,-118.12532,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
Princeton-ECA40_d0ncdac-CX11271,ok,Princeton-ECA40_d0ncdac-CX11271,Princeton,ECA40_d0ncdac,CX11271,CX11271,,,,,TruSeq2-PE.fa:2:80:10 TRAILING:30 SLIDINGWINDOW:4:30 MINLEN:30,,Sonication
BGI1-RET2-CX11276,ok,BGI1-RET2-CX11276,BGI1,RET2,CX11276,CX11276,34.20111,-118.21198,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET2-CX11276,ok,BGI2-RET2-CX11276,BGI2,RET2,CX11276,CX11276,34.20111,-118.21198,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET2b-CX11276,ok,BGI3-RET2b-CX11276,BGI3,RET2b,CX11276,CX11276,34.20111,-118.21198,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI1-RET2-CX11285,ok,BGI1-RET2-CX11285,BGI1,RET2,CX11285,CX11285,34.14331,-118.05496,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI2-RET2-CX11285,ok,BGI2-RET2-CX11285,BGI2,RET2,CX11285,CX11285,34.14331,-118.05496,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
BGI3-RET2a-CX11285,ok,BGI3-RET2a-CX11285,BGI3,RET2a,CX11285,CX11285,34.14331,-118.05496,"Los Angeles, USA",,NexteraPE-PE.fa:2:80:10 MINLEN:45,,Tagmentation
